OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1214,Town,Town,CT,10823.5848545529
1215,Town,Town,CT,18425.1312690485
1216,Town,Town,NY,43376.3895008543
1217,County,Town,CT,14802.9367629127
1218,Town,Town,CT,20310.6766553799
1219,Town,Town,CT,15339.2141377515
1220,County,Town,CT,32291.5541059668
1221,Town,Town,CT,20908.3255776991
1222,Town,Town,RI,17233.8506620319
1223,Town,Town,CT,3013.66818360332
1224,Town,Town,CT,39058.1851962587
1225,Town,Town,CT,28722.7322479036
1226,County,Town,CT,35440.0588657068
1227,Town,Town,CT,31791.2114778067
1228,Town,Town,RI,4096.04159323083
1229,Town,Town,RI,21145.1049621426
1230,State,State,CT,18833.3412625197
1231,Town,Town,NY,39483.9365778986
1232,County,Town,NY,17390.5209817989
1233,County,Town,CT,29915.5208596126
1234,County,Town,CT,13116.6685541069
1235,County,Town,CT,12698.2356351027
1236,Town,Town,CT,19892.2381802857
1237,Town,Town,CT,41912.3361493326
1238,County,Town,CT,57362.2465153099
1239,Town,Town,RI,40512.9839747549
1240,Town,Town,CT,9742.46317419048
1241,State,State,CT,34023.7277571395
1242,County,Town,CT,23608.7829787343
1243,Town,Town,NY,37506.5514135545
1244,Town,Town,NY,45164.9534740375
1245,Town,Town,RI,25719.5052794863
1246,Town,Town,CT,31652.4687210869
1247,Town,Town,CT,22651.1501655513
1248,State,State,CT,2380.11508096922
1249,County,Town,NY,32272.7327534837
1250,Town,Town,CT,7883.51685928286
1251,Town,Town,CT,14815.5041693325
1252,Town,Town,CT,22080.1364316284
1253,Town,Town,CT,29426.0770216636
1254,County,Town,CT,35505.0742727168
1255,Town,Town,CT,46263.5236968191
1256,Town,Town,CT,10796.6707153307
1257,County,Town,NY,7172.94949409456
1258,Town,Town,NY,2828.61366220274
1259,Town,Town,CT,35823.8387603698
1260,Town,Town,CT,14469.0756916368
1261,County,Town,CT,21068.7643528025
1262,Town,Town,CT,14263.0446973862
1263,Town,Town,CT,21843.5246197752
1264,Town,Town,CT,33475.9540583437
1265,Town,Town,CT,20624.4324463542
1266,Town,Town,CT,17299.7822425123
