OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1740,Town,Town,NY,3333.26395256347
1741,Town,Town,NY,2120.21302940205
1742,Town,Town,NY,4149.81210555005
1743,Shoreline,Shoreline,RI,284.236297481827
1744,Shoreline,Shoreline,RI,395.188229060715
1745,Shoreline,Shoreline,RI,364.528594531348
1746,Shoreline,Shoreline,RI,214.728466191937
1747,Shoreline,Shoreline,RI,240.887400414296
1748,Shoreline,Shoreline,RI,215.274609443588
1749,Shoreline,Shoreline,RI,453.858885755903
1750,Shoreline,Shoreline,RI,232.310762405022
1751,Shoreline,Shoreline,RI,378.097918711695
1752,Shoreline,Shoreline,RI,17971.5740276585
1753,Shoreline,Shoreline,RI,360.417788987892
1754,Shoreline,Shoreline,RI,348.174728745506
1755,Shoreline,Shoreline,RI,824.853917679647
1756,Shoreline,Shoreline,RI,802.852996943953
1757,Shoreline,Shoreline,RI,323.651632555848
1758,Shoreline,Shoreline,RI,261.775539800816
1759,Shoreline,Shoreline,RI,476.119713136145
1760,Shoreline,Shoreline,RI,247.878763634328
1761,Shoreline,Shoreline,RI,241.575123814257
