Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Glastonbury,52060,52401,55116,52743,52151,52823,51800,52420,52992,52791,53027,53911,54435,52670,54651,57879,55775,57088
Goshen,37268,38915,40340,39362,33284,30099,30758,29283,28458,30311,31747,35541,33810,37255,44004,44108,50854,57840
Granby,34343,33173,33420,34001,34921,35008,34174,32394,32631,32524,34257,35353,35599,35987,37224,42138,43895,44059
Greenwich,135009,149394,155732,142009,131441,137808,133590,123734,116008,119108,118309,115145,115732,117379,116476,127600,129828,139820
Griswold,31575,31502,31243,31497,31878,31117,29641,32229,31971,32981,36261,34024,33599,33561,35577,35997,35020,36228
Groton,64396,63481,65881,65020,68225,68417,69626,72330,70844,72296,72056,71872,72175,71864,70437,74278,71611,73899
Guilford,43045,44529,50047,45494,44668,46896,43376,48846,45459,46914,49196,50349,49147,49757,47798,54406,56257,55294
Haddam,46850,44960,40332,36980,35951,35704,35177,36245,37522,37859,38723,38204,36294,33657,35398,38316,39270,40893
Hamden,43603,43529,43270,42293,42845,43136,41670,41630,42049,41664,42724,43193,42244,40490,41117,43361,42412,43512
Hampton,31489,29200,28695,29267,28535,30075,30720,26625,27164,31780,32529,30512,29912,30956,29275,29669,26631,33220
Hartford,75305,74004,78183,71113,73683,74506,75097,75287,73818,75677,77311,74762,74023,74764,73723,76002,71999,75921
Hartland,39903,39189,35616,33124,34456,32271,32787,31850,34122,37713,35674,36044,36890,37983,36929,40342,39254,38309
Harwinton,42772,44106,46985,43893,43663,46716,47971,49913,46614,48065,51553,49524,52173,55502,56345,56833,53155,57780
Hebron,31917,34565,34000,32713,33538,33205,33117,33224,31307,31681,33186,34762,34462,35318,34553,37612,36937,38936
Kent,36665,35781,34447,33968,34072,34071,35639,35428,36194,36863,38446,39547,39461,39454,40676,45969,42668,45162
Killingly,43690,44508,43134,41665,42714,40689,41103,40005,40180,40937,43523,41034,41374,40368,41255,42759,40375,42881
Killingworth,51058,48550,41776,45310,44467,46377,46531,45083,43210,43484,45324,43136,44916,44413,44841,49688,48670,44715
Lebanon,31354,31638,32346,31720,34371,33274,29053,30247,31491,32436,34137,37048,36207,36409,37296,39922,39160,41334
Ledyard,39666,39909,40501,37754,36727,36347,35068,34262,34963,34498,34459,33741,33474,32827,32755,35501,37942,38271
Lisbon,25794,26015,25495,24958,24118,23977,23304,22495,22797,22956,23696,23911,24165,23848,23486,25026,24648,25928
Litchfield,37862,37859,38375,37706,37773,37933,38398,36074,36299,36255,37890,37601,36578,33707,34605,38065,37616,38823
Lyme,51811,51776,50875,46870,40990,44508,48909,48317,50022,48180,53585,50135,55047,50676,49812,54056,65833,75863
Madison,42096,42959,47743,43678,43608,43582,42317,41449,42943,44648,46513,47409,47498,47674,47355,51183,50599,54285
Manchester,40474,40445,41463,41226,42236,41796,40611,39852,40040,39808,40643,40414,40067,39834,40343,43202,41687,42770
Mansfield,45374,41906,47102,49943,50666,48761,48046,46182,44915,46813,48890,48854,52051,50812,48259,52858,49294,52058
Marlborough,37472,37163,38556,41567,37676,38829,38775,40836,39319,39208,40970,48096,45366,41184,39114,42961,40883,44412
Meriden,46060,44882,45703,44792,46362,46046,44969,44303,44934,44521,46089,45837,44586,42945,44452,48071,46645,48631
Middlebury,55406,54257,56311,55138,55624,58061,53940,52681,51975,50237,51806,53092,54552,47699,45132,48600,45039,46698
Middlefield,50306,50052,50250,47783,47434,48009,48577,48065,44891,49338,44724,45527,45046,46256,45797,46613,44624,46604
Middletown,61608,63119,62966,61741,62236,58683,57933,56433,56088,56030,57951,58832,58030,56717,56408,57571,53852,55102
Milford,49898,49480,48204,47756,48256,49016,46786,45868,45707,44556,45847,46071,45859,44750,44964,49356,47615,49022
Monroe,39340,39547,39152,40958,40682,43288,43852,45432,43038,43584,47368,43680,42106,41454,42554,46206,44195,45018
Montville,39724,40039,40912,39448,37068,36703,35963,35626,35431,35305,36412,36859,35895,35766,34172,37101,37781,39516
Morris,25969,27097,30791,29753,29538,28699,29594,30608,32497,32763,33323,33791,34144,32952,34562,38356,36199,39551
Naugatuck,39508,40100,41696,41538,41319,42055,42672,40981,40394,41063,41576,41294,40844,40204,41204,42334,40979,42562
New britain,49611,48196,50291,49722,50629,50705,50552,49291,50242,50183,51969,51296,52150,49494,49567,50966,49307,51558
New canaan,74011,74597,77727,69061,66154,64923,68443,63009,61858,63394,65642,65459,65575,65762,62798,70348,74410,78481
New fairfield,42307,44714,47026,46838,48118,47831,46766,45147,43706,44558,44532,45352,44081,43328,44097,50487,49096,53218
New hartford,32931,33113,33830,34039,35528,36530,35720,36130,34595,35052,35518,35498,33918,34841,34466,37275,36960,39139
New haven,55614,55042,57367,57165,58557,59009,58481,58730,58787,59949,60571,60025,59877,59789,60711,63640,62586,66142
New london,52992,55284,59258,59198,61398,60205,55677,48347,47950,48844,49248,49220,47419,46085,46662,49457,47079,48541
New milford,44265,43755,43268,42533,43020,41705,39692,39401,38324,38806,39602,39750,38769,39179,39684,42819,41768,42597
Newington,44612,46190,48139,47399,47740,46072,44932,45149,46654,49096,48938,48212,46792,45859,45492,47492,45601,47777
Newtown,49670,49372,50401,48619,48281,47289,48416,47410,52441,52797,57504,60743,47954,46845,47522,51473,49500,52513
Norfolk,32224,33133,35479,35209,37812,31541,29404,30822,30451,31101,35762,31165,33397,32553,30722,34709,33500,39251
North branford,44182,44888,45819,45858,45301,45355,45101,42414,41240,42572,43190,42844,41885,41895,43295,44771,43605,44156
North canaan,42507,42915,44175,43787,44124,43120,42751,43067,42441,42097,43659,44118,44104,43702,43411,44950,43941,47041
North haven,51811,51939,52063,51392,51466,52422,50493,48045,47498,46432,46933,47819,47251,47431,45887,44544,43890,44393
North stonington,34017,32935,32974,31531,30981,31303,39845,39360,36701,37567,40525,42011,41196,43299,45819,51082,46549,47081
Norwalk,67104,69497,77344,78022,81820,85611,85352,84163,88831,87184,87836,88816,85825,79129,80250,81030,78671,80198
Norwich,43301,40967,40760,41567,43284,42146,41586,41921,41341,41874,42527,43412,42667,41349,42634,45090,43161,45199
Old lyme,41333,41802,39880,39018,38004,37977,39163,39458,37808,37956,41187,42174,42241,40890,40843,44954,45290,49576
Old saybrook,40672,41849,42059,40847,39158,38823,38259,37205,36921,37253,39907,38003,38031,38453,42248,42357,40320,47343
Orange,38053,38144,39113,39055,39477,38878,38045,41276,42889,43255,44444,43601,45467,44117,44920,49753,45751,47476
Oxford,45761,46703,47758,44856,46523,48987,49659,51828,48740,49357,63384,51508,51427,49659,50290,51740,51675,58909
Plainfield,32670,33653,34120,33324,34531,34470,33513,32446,33033,32358,33419,33682,32914,32922,33275,37261,35302,37531
Plainville,50994,47190,45988,48064,45255,44256,46060,46191,46179,43735,45450,45227,43716,42334,45004,47576,44267,45652
Plymouth,41073,40619,40839,39814,40884,40217,39247,39954,40953,38555,39705,39690,39972,39987,40382,43655,42299,45607
Pomfret,38550,38064,37792,38891,38630,39040,39137,38357,37363,37772,38657,39496,37682,37917,36439,38353,36958,38773
Portland,42233,39325,39786,39104,38577,38187,37669,36204,37508,37187,40898,40256,40667,39497,39922,43028,39969,41868
Preston,36211,37741,38876,38310,36376,35752,33248,32194,32101,31780,34128,33655,34731,35437,34691,37504,37315,40280
