Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
East haven,5.2,4.7,5.1,6,8.5,11,10.4,9.4,8.9,7.3,6.1,5.4,4.9,4.1,4,8.3,6.7,4.4
East lyme,3.9,3.6,3.5,4.6,6.8,8.2,8.5,8,7.3,6.2,5.3,4.5,3.9,3.6,3.4,8,6.1,4
East windsor,5.3,4.8,4.9,6,8.5,10.4,9.5,8.9,7.8,6.7,5.5,5,4.7,4.1,3.6,7.3,5.8,4.1
Eastford,4.3,3.5,3.6,4.6,6.5,8.2,7.5,6.4,7,5.8,3.8,3.6,3.9,3.7,3,5.7,4.6,3.7
Easton,3.1,3,3.4,4.2,6,6.7,6.3,5.8,5.8,4.8,3.9,3.5,3.6,3.2,2.7,6.1,4.9,3.6
Ellington,4,3.8,3.8,4.6,6.8,8,7.4,6.8,6.5,5.5,4.9,4.1,3.7,3.3,3,5.8,4.9,3.6
Enfield,4.9,4.8,4.7,5.6,8.4,9.6,9,8,7.8,6.3,5.4,5.2,4.4,3.8,3.5,7.6,5.8,4
Essex,3.7,3.2,3.4,4.1,6.2,8,7.5,6.6,6.4,5.3,4.8,3.7,3.5,3,2.9,6.1,4.3,3.1
Fairfield,3.9,3.5,3.6,4.6,7.4,8.1,7.7,7.4,6.9,5.5,4.8,4.2,3.9,3.4,3.3,6.7,5.1,3.8
Farmington,3.8,3.4,3.6,4.3,6.3,7.2,6.4,6.2,5.9,4.8,4,3.6,3.4,3,2.7,5.8,4.5,3.3
Franklin,3.8,3.9,3.6,5.1,6.6,8.6,7,7,7.2,7,5.3,4.6,3.1,3.2,3.6,7.5,5.8,3.8
Glastonbury,3.4,3.1,3.2,3.9,5.8,6.9,6.1,5.6,5.5,4.5,3.8,3.4,3,2.7,2.5,5.5,4.1,3.1
Goshen,4,3.1,3.6,4.5,7,7.5,7.6,6.6,5.9,5.1,4.6,4,3.4,2.8,2.9,5.3,4.7,3.6
Granby,3.7,3.1,3.4,3.9,6.1,6.9,6.4,5.9,5.6,4.9,4.3,3.5,3.1,2.7,2.4,5,4.3,2.9
Greenwich,3.3,3,3,4,6.2,7.2,7.1,6.2,6,4.8,4.1,3.7,3.5,2.9,2.8,5.9,4.5,3.5
Griswold,5,4.6,4.7,5.8,8.4,10.8,10.6,9.6,9.5,8,7,5.9,4.9,4.3,4,10.2,7.6,4.8
Groton,4.5,4.3,4.3,5.6,8.3,9,8.8,8.1,7.9,6.1,5.4,4.4,3.8,3.3,3.1,8.7,6.3,3.7
Guilford,3.4,2.9,3.3,4.1,5.6,7,6.4,5.8,5.9,4.8,3.9,3.4,2.9,2.7,2.4,5.1,3.8,2.9
Haddam,3.6,3,3.2,3.9,6,7.2,6.5,6.3,5.8,5,4.2,3.5,3.3,2.9,2.5,5.7,4.5,3.1
Hamden,4.7,4.3,4.5,5.4,7.6,8.4,8.2,7.8,7.3,6.1,5.2,4.4,4,3.6,3.3,6.9,5.4,3.7
Hampton,5.4,4.8,4.8,6,7.7,12.4,11.4,10.3,9.1,5.8,5.3,4.6,4.5,3.7,3.3,5.8,5.2,3.5
Hartford,9.7,9,9,10.7,14.3,15.6,15.2,14.3,13.7,11.4,9.9,8.7,7.7,6.6,6.4,13.4,11,6.5
Hartland,3.4,3.4,3.3,3.9,5.8,7.5,7.1,7,6.1,5.7,4.9,4,3.6,3.3,3.2,5.5,4.8,3.6
Harwinton,4,3.8,4,4.8,7.3,7.3,7,6.8,6,5.2,4.3,4,3.4,3.4,3,5.4,4.1,3.7
Hebron,3.9,3.5,3.6,4.2,6.3,7.3,6.7,6,5.8,5.1,4,3.5,3.4,2.9,2.8,5.9,4.8,3.2
Kent,3.2,3,3.1,4.1,6,7.8,6.7,6.1,5.3,4.5,4.2,3.5,3.8,2.8,2.8,5.4,3.9,3.5
Killingly,6.1,5.7,5.9,7.4,10.4,11.4,10.6,10.2,9.4,7.7,6.9,5.6,4.8,4.4,3.9,7.9,6.2,4.1
Killingworth,3.4,3,3.1,4,5.8,6.7,6.6,5.9,5.7,4.5,3.9,3.3,2.8,2.5,2.3,5.1,4.4,2.9
Lebanon,4.4,4,4,5,7.4,9.1,9,8.2,7.3,6,5,4.6,4.4,3.6,3.4,7,5.9,3.9
Ledyard,3.6,3.6,3.5,4.5,7.1,8.1,7.5,7.7,7.5,5.7,5.1,4,3.5,3.2,2.9,9.3,6,3.9
Lisbon,4.6,4.2,4,5.1,7.7,8.9,8.7,8.5,7.6,7.3,6.2,5.4,4.7,3.8,3.6,8.9,7,4.9
